Negara,B-10 (Kg),N-10 (USD),B-11 (Kg),N-11 (USD),B-12 (Kg),N-12 (USD),B-13 (Kg),N-13 (USD),B-14 (Kg),N-14 (USD),B-15 (Kg),N-15 (USD),B-16 (Kg),N-16 (USD),B-17 (Kg),N-17 (USD),B-18 (Kg),N-18 (USD),B-19 (Kg),N-19 (USD),B-20 (Kg),N-20 (USD),B-21 (Kg),N-21 (USD)
Rep Dominica,34648.0,196903.0,4485.0,80076.0,13113.0,86362.0,,,,,,,,,1,"571,7","4,3","2073,69",455,"15561,36","2461,66",20,"4710,6","23540,4"
Reunion,1557.0,12951.0,3356.0,14604.0,,,,,5.0,269.0,,,,,15,"5526,91",,,,,"763,06",151,,
Rumania,,,11.0,770.0,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,413.0,2816.0,48.0,667.0,,,75.0,3585.0,58.0,2814.0,51,"1957,8",5031,"10399,3",51,"2809,28",137,"5729,62",403,"12144,09","7448,53",252,,
Saint Lucia,,,25.0,15.0,,,15.0,301.0,,,,,,,250,802,65,"1294,57","17,2","689,55",,,,
Sao Tome & Principe,3771.0,1100.0,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,1941325.0,17832655.0,1491595.0,18742845.0,151436.0,3319086.0,142691.0,3107483.0,116829.0,2696070.0,24919,"13845,71","106963,33","2104685,13","104403,04","2317785,55","36398,61","1286085,55","21437,09","338429,52","391671,87","30431,96","372,86","12786,32"
Selandia Baru,120208.0,993005.0,122095.0,1309608.0,42463.0,288329.0,103584.0,949319.0,22503.0,221331.0,"49937,5","617619,99","29509,03","397799,6","1735,5","19409,82","179,73","5630,01","642,73","9891,98","6681,13","314,13","1017,28","39994,24"
Serbia,,,,,,,,,,,,,,,,,,,36,1170,,,"49,43","1492,46"
Seychelles,891.0,6128.0,1843.0,20157.0,31.0,463.0,,,,,,,,,,,30,220,560,"4804,2",1413,60,"493,3","4440,25"
Singapura,589761.0,5898096.0,493212.0,7156265.0,63842.0,1200146.0,106782.0,2470269.0,87381.0,2513354.0,"64625,15","2467130,01","34984,73","863610,22","32072,33","914268,69","29347,14","643805,02","15330,73","400926,7","538172,42","23677,5","15178,16","155118,15"
Slovakia,,,694.0,7464.0,,,,,,,,,,,,,,,,,,,,
Slovenia,116.0,1736.0,1.0,13.0,,,,,,,218,4874,"267,46","6196,36",20,"49,4",,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,920,4605
Spanyol,876557.0,17134641.0,895713.0,16557944.0,106932.0,1919577.0,41045.0,608957.0,16228.0,318772.0,"19528,6","261623,69","10736,05","154239,53","4271,71","85916,12","4427,93","49713,99","203,9","3085,77","4114,49","152,13","3011,41","108891,73"
Srilanka,526043.0,3327973.0,295265.0,2068387.0,23858.0,116586.0,38620.0,273719.0,20232.0,203024.0,61508,"545767,36","56726,66","505949,95","58345,46","411480,85","48532,36","260738,49","46016,11","245720,24","138659,46","33955,8","33013,2","162392,81"
St Vincent & Grenada,36.0,275.0,,,,,,,,,,,,,,,,,,,,,,
Sudan,353406.0,2375151.0,83554.0,1057388.0,,,,,,,,,23280,412525,"35764,78",781735,"11357,07",267139,,,,,"2823,85",114862
Suriname,48259.0,103268.0,10522.0,92729.0,,,,,1165.0,12584.0,226,3508,,,"2776,05","23880,78","567,75","3633,6","533,6","3075,8","11660,2","286,25",,
Swaziland,,,12.0,319.0,,,,,,,,,,,,,,,,,,,,
Swedia,43795.0,1617979.0,41829.0,1456467.0,66.0,993.0,145.0,4646.0,270.0,3480.0,2,63,"874,64","27155,8","172,86","10547,34","371,95","14206,11","10,8","1024,74","25831,23","1001,44","4780,62","141891,78"
Swiss,64793.0,1689673.0,34664.0,1186461.0,995.0,11185.0,205.0,7032.0,497.0,6240.0,"43,67","1891,05","727,35","25356,48","13,54","720,58",10,"1076,45","74,92","1260,72","7314,38","100,4","943,34","25557,86"
Taiwan,134273.0,1484770.0,199208.0,4399724.0,128506.0,1373287.0,162169.0,1642712.0,36363.0,651211.0,"58941,4","1090003,4","8075,55","206038,84","19518,8","630055,65","1202,65","26565,16","4434,8","25004,91","6469,96","501,27","866,99","8869,95"
Thailand,305340.0,4872175.0,213219.0,3255106.0,50260.0,601717.0,69422.0,940758.0,141320.0,1701540.0,"227012,18","2771050,05","120735,82","925918,04","138921,41","1444102,29","131427,65","1121021,34","131975,14","1062540,27","826877,92","108729,76","70092,39","873552,11"
Timor Timur,28294.0,38630.0,10437.0,22491.0,13810.0,4591.0,15765.0,5927.0,5055.0,6025.0,1790,1445,"44,99","1501,68",,,20,100,"782,14","1876,46",2652,517,136,326
Togo,,,94395.0,887820.0,39393.0,701160.0,32119.0,172820.0,,,,,,,70,20,,,,,,,,
Tonga,,,,,735.0,3229.0,,,,,,,,,,,,,,,,,,
Trinidad & Tobago,1269.0,12803.0,520.0,5609.0,,,,,,,,,,,,,,,,,,,,
Tunisia,2.0,17.0,8902.0,93232.0,1310.0,1335.0,,,,,,,,,,,,,,,,,,
Turki,279299.0,8254745.0,241322.0,7183860.0,5914.0,177145.0,785.0,30714.0,,,"66,39","2760,88","678,64","24473,89","14,28","2681,42","25,66","623,04",,,"2631,5","16,56","121406,72","504834,27"
TURKS & CAICOS ISLANDS,,,,,,,,,,,,,,,,,,,,,"1087,72","4,27",,
U.S. VIRGIN ISLANDS,,,,,,,,,,,,,,,,,18,"72,83",,,,,,
Uganda,103.0,489.0,93.0,516.0,,,,,,,,,,,,,,,,,,,,
Ukraina,,,9288.0,143128.0,90.0,3723.0,85.0,3313.0,,,,,,,,,,,,,,,,
Uni Emirat Arab,1312172.0,19862875.0,1398381.0,24748278.0,399214.0,7928359.0,547661.0,9094629.0,525775.0,10491485.0,"292827,91","5893919,5","93205,92","1968073,02","105305,97","2531522,29","137455,69","3345752,65","132527,48","3560859,3","298463,8","15494,36","11369,58","167966,67"
Uruguay,4261.0,56278.0,453.0,10424.0,76.0,3059.0,104.0,3867.0,29.0,1147.0,,,812,"288,14","48,96","3039,6","48,3","2055,6",,,522,"17,53","87,79",3118
Uzbekistan,,,,,,,,,186.0,768.0,,,,,,,,,,,,,,
Vanuatu,1342.0,3953.0,123.0,2144.0,,,,,,,,,,,,,21,"117,88",,,,,,
Venezuela,962.0,15045.0,,,3049.0,150445.0,24.0,1168.0,,,,,,,,,,,,,,,,
Viet Nam,147244.0,1390290.0,61958.0,516041.0,89947.0,935246.0,142578.0,1330272.0,56531.0,716600.0,"120949,4","1418418,65","149514,4","944081,95","11572,55","85564,14","9242,17","85920,47","3517,32","46726,27","231780,25","16551,83","15554,83","234549,11"
VIRGIN ISLANDS (BRITISH),,,,,,,,,,,,,,,8,"26,37",,,,,,,,
Yaman,41124.0,418478.0,43700.0,438863.0,,,22195.0,462276.0,7644.0,144250.0,,,"4878,72",99640,,,,,,,,,,
Yunani,8226.0,129891.0,10630.0,178029.0,5887.0,41645.0,2421.0,19474.0,447.0,5578.0,4,260,202,"3587,72",334,"3780,25","41,45","824,51","510,23",8635,"16245,74","76,73","113,6","4214,85"
Zimbabwe,696.0,4609.0,,,1224.0,12078.0,8956.0,78730.0,2031.0,31172.0,15551,"199593,75",2434,"29874,76",,,,,,,,,,
